date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:20	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20May%202019%2014:19:08%20GMT	https://demos.creative-tim.com/robots.txt		(from )
16:15:21	52184/52184	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202019%2008:49:48%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard7b10.html	(from )
16:15:22	2446/2446	---M--	200	added ('OK')	image/png	etag:%225c8b672c-98e%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:15:51	158770/158770	---M--	200	added ('OK')	image/jpeg	etag:%2273a1b747c9f203ee2b287a4cafa8f0d5%22	https://s3.amazonaws.com/creativetim_bucket/products/72/opt_nudp_thumbnail.jpg	C:/My%20Web%20Sites/tk/s3.amazonaws.com/creativetim_bucket/products/72/opt_nudp_thumbnail.jpg	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:16:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20May%202019%2014:20:15%20GMT	http://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.4.delayed	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:16:29	52184/52184	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202019%2008:49:48%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:16:32	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.1/css/all.css	C:/My%20Web%20Sites/tk/use.fontawesome.com/releases/v5.7.1/css/all.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:16:34	155759/155759	---M-Z	200	added ('OK')	text/css	etag:W/%225c8b672c-2606f%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:17:04	785/785	---M-Z	200	added ('OK')	text/css	etag:W/%225c8b672c-311%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/demo/demo.css	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
16:17:35	77322/77322	---M--	200	added ('OK')	image/jpeg	etag:%225c8b672c-12e0a%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/james.jpg	C:/My%20Web%20Sites/tk/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/james.jpg	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.124885898.1091680917.1558274471-1329753825.1558274471)
